doc-number,Caption,Committees,Sponsors,links
HB 179,"Solitary Confinement Limitation Act; enact
Status: 02/02/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Hutchinson, Shelly , 106thKennard, Gregg , 101stCannon, Park , 58thEvans, Becky , 89thMitchell, Billy , 88thPark, Sam , 107th",https://www.legis.ga.gov/legislation/63846
HB 180,"Sales and use tax; equipment sold to and used by a qualified food bank for their primary purposes; exempt
Status: 02/02/2023 - House Second Readers",House Committee:Ways & Means,"Martinez, Reynaldo ""Rey"" , 111thHilton, Scott , 48thTownsend, Rick , 179thHuddleston, David , 72ndMarin, Pedro ""Pete"" , 96thBarrett, Carter , 24th",https://www.legis.ga.gov/legislation/63847
HB 181,"Controlled Substances; mitragynine and hydroxymitragynine are Schedule I; provide
Status: 05/02/2024 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Health and Human Services,"Townsend, Rick , 179thStephens, Ron , 164thCooper, Sharon , 45thHawkins, Lee , 27thHutchinson, Shelly , 106thVance, Ken , 133rd",https://www.legis.ga.gov/legislation/63848
HB 182,"Property; curing defective deeds and other instruments; revise provisions 
Status: 05/04/2023 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Reeves, Matt , 99thWilliams, Jr., Noel , 148thLeverett, Rob , 123rdSilcox, Deborah , 53rdEvans, Stacey , 57th",https://www.legis.ga.gov/legislation/63874
HB 183,"Motor vehicles; temporary license plates and operating permits; revise terminology
Status: 05/03/2023 - House Date Signed by Governor",House Committee:Motor VehiclesSenate Committee:Transportation,"Barton, Matt , 5thCorbett, John , 174thWiedower, Marcus , 121stMomtahan, Martin , 17thRidley, Jason , 6th",https://www.legis.ga.gov/legislation/63875
HB 184,"Insurance; mental health parity requirements; include a specific federal regulation 
Status: 02/06/2023 - House Second Readers",House Committee:Insurance,"Lim, Marvin , 98thOliver, Mary Margaret , 82ndAu, Michelle , 50thJones, Todd , 25th",https://www.legis.ga.gov/legislation/63876
HB 185,"Education; provide for HOPE Inclusive Postsecondary Education (IPSE) grants
Status: 03/21/2024 - Senate Passed/Adopted By Substitute",House Committee:Higher EducationSenate Committee:Higher Education,"Gaines, Houston , 120thDempsey, Katie , 13thHilton, Scott , 48thWiedower, Marcus , 121stHatchett, Matt , 155thAnulewicz, Teri , 42nd",https://www.legis.ga.gov/legislation/63877
HB 186,"Appeal and error; filing of petitions for review in reviewing courts from lower judicatories; revise an exception
Status: 05/01/2023 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Leverett, Rob , 123rdSmith, Tyler Paul , 18thEvans, Stacey , 57thHolcomb, Scott , 81st",https://www.legis.ga.gov/legislation/63878
HB 187,"Crimes and offenses; authorize for-profit credit repair services
Status: 03/02/2023 - House Withdrawn, Recommitted",House Committee:Agriculture & Consumer Affairs,"Leverett, Rob , 123rdGunter, Stan , 8thWilliams, Al , 168thSmith, Tyler Paul , 18thPrince, Brian , 132nd",https://www.legis.ga.gov/legislation/63879
HB 188,"Georgia Dangerous Sexual Predator Prevention Act; enact
Status: 05/04/2023 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Public Safety,"Sainz, Steven , 180thPetrea, Jesse , 166thHitchens, Bill , 161stBurchett, James , 176thMainor, Mesha , 56thWerkheiser, Bill , 157th",https://www.legis.ga.gov/legislation/63880
HB 189,"Highways, bridges, and ferries; allowable variance for weight limitations upon a vehicle or load; provide for
Status: 05/03/2023 - House Date Signed by Governor",House Committee:TransportationSenate Committee:Transportation,"Meeks, Steven , 178thBurchett, James , 176thCorbett, John , 174thFrye, Spencer , 122ndDickey, Robert , 145thStinson, Patty Marie , 150th",https://www.legis.ga.gov/legislation/63881
HB 190,"Motor vehicles; stopping, standing, or parking of a vehicle outside of a business district in certain instances; prohibit
Status: 02/06/2023 - House Second Readers",House Committee:Motor Vehicles,"Momtahan, Martin , 17thLeverett, Rob , 123rdSainz, Steven , 180thHitchens, Bill , 161stReeves, Matt , 99thJasperse, Rick , 11th",https://www.legis.ga.gov/legislation/63894
HB 191,"Revenue and taxation; pack of cigarettes; increase rate of tax
Status: 02/06/2023 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thNewton, Mark , 127thAu, Michelle , 50thGreene, Gerald , 154thHawkins, Lee , 27thOliver, Mary Margaret , 82nd",https://www.legis.ga.gov/legislation/63896
HB 192,"Revenue and taxation; consumable vapor products; increase rate of tax
Status: 02/06/2023 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thNewton, Mark , 127thAu, Michelle , 50thGreene, Gerald , 154thHawkins, Lee , 27thOliver, Mary Margaret , 82nd",https://www.legis.ga.gov/legislation/63897
HB 193,"Local government; increase dollar values of certain public works construction contracts exempt from bidding requirements
Status: 05/05/2023 - House Date Vetoed by Governor",House Committee:Governmental AffairsSenate Committee:Government Oversight,"Anderson, Victor , 10thLumsden, Eddie , 12thHawkins, Lee , 27thYearta, Bill , 152ndLeverett, Rob , 123rdCollins, J , 71st",https://www.legis.ga.gov/legislation/63898
HB 194,"Undocumented Persons Family Violence Protection Act; enact
Status: 02/06/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Hutchinson, Shelly , 106thKennard, Gregg , 101stFrye, Spencer , 122ndMarin, Pedro ""Pete"" , 96thAu, Michelle , 50thTran, Long , 80th",https://www.legis.ga.gov/legislation/63899
HB 195,"Crimes and offenses; training course for certain persons applying for a weapons carry license or renewal license; provide
Status: 02/06/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Marin, Pedro ""Pete"" , 96thAu, Michelle , 50thSchofield, Kim , 63rdTran, Long , 80thPark, Sam , 107thMitchell, Billy , 88th",https://www.legis.ga.gov/legislation/63900
HB 196,"Georgia Access to Medical Cannabis Commission; subject to Administrative Procedure Act and laws governing open meetings and records; provide
Status: 03/07/2024 - Senate Conference Committee Appointed",House Committee:Judiciary Non-CivilSenate Committee:Regulated Industries and Utilities,"Powell, Alan , 33rdWashburn, Dale , 144thWilkerson, David , 38thDaniel, Lauren , 117thMcCollum, Derrick , 30thClark, David , 100th",https://www.legis.ga.gov/legislation/63901
HB 197,"Wesley's Law; enact
Status: 02/06/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"McCollum, Derrick , 30thPowell, Alan , 33rdWiedower, Marcus , 121stErwin, Chris , 32ndGaines, Houston , 120thStephens, Ron , 164th",https://www.legis.ga.gov/legislation/63902
HB 198,"Motor vehicles; alternate acceptable proof of insurance; expand time
Status: 02/06/2023 - House Second Readers",House Committee:Motor Vehicles,"Gullett, Joseph , 19thBarton, Matt , 5thWilliams, Jr., Noel , 148thDeLoach, Buddy , 167thYearta, Bill , 152nd",https://www.legis.ga.gov/legislation/63903
HB 199,"Brooks County; appointment of county surveyor; provide 
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"LaHood, John , 175th",https://www.legis.ga.gov/legislation/63904
HB 200,"Elections; municipalities to adopt and use instant runoff voting for their elections; provide for the option
Status: 02/06/2023 - House Second Readers",House Committee:Governmental Affairs,"Gullett, Joseph , 19thEvans, Stacey , 57thPirkle, Clay , 169thOliver, Mary Margaret , 82ndBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/63905
HB 201,"Public Health, Department of; carry out projects to increase education, awareness, or diagnosis of valvular heart disease; authorize
Status: 02/06/2023 - House Second Readers",House Committee:Public Health,"Schofield, Kim , 63rdCarter, Doreen , 93rdScott, Sandra , 76thBennett, Karen , 94thHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/63906
HB 202,"Education on Set Act; enact
Status: 02/06/2023 - House Second Readers",House Committee:Education,"Schofield, Kim , 63rdScott, Sandra , 76thCarter, Doreen , 93rdHolland, Betsy , 54thGilliard, Carl , 162nd",https://www.legis.ga.gov/legislation/63907
HB 203,"Health; restrictions on sale and dispensing of contact lenses with respect to physicians; revise provisions
Status: 05/02/2023 - House Date Signed by Governor",House Committee:HealthSenate Committee:Health and Human Services,"Newton, Mark , 127thBeverly, James , 143rdHawkins, Lee , 27thStephens, Ron , 164thCooper, Sharon , 45th",https://www.legis.ga.gov/legislation/63908
HB 204,"Georgia Municipal Court Clerks' Council; create
Status: 03/05/2024 - Senate Committee Favorably Reported",House Committee:JudiciarySenate Committee:Judiciary,"Yearta, Bill , 152ndGullett, Joseph , 19thLeverett, Rob , 123rdDempsey, Katie , 13thMartinez, Reynaldo ""Rey"" , 111th",https://www.legis.ga.gov/legislation/63938
HB 205,"Conservation and natural resources; veterans with a service related disability free access to all state parks; provide
Status: 02/07/2023 - House Second Readers","House Committee:Game, Fish & Parks","Cameron, Mike , 1stTarvin, Steve , 2ndPetrea, Jesse , 166thCamp, Beth , 135thClark, David , 100thHorner, Mitchell , 3rd",https://www.legis.ga.gov/legislation/63939
HB 206,"Local government; creation of Commercial Property Assessed Conservation, Energy, and Resiliency Development Authorities; provide
Status: 04/25/2024 - House Date Signed by Governor",House Committee:Governmental AffairsSenate Committee:Rules,"Sainz, Steven , 180thLaHood, John , 175thStephens, Ron , 164thTaylor, Darlene , 173rdWilliams, Jr., Noel , 148thCorbett, John , 174th",https://www.legis.ga.gov/legislation/63943
HB 207,"Waters, ports, and watercraft; carrying of night visual distress signals upon coastal waters during certain hours; provide
Status: 05/02/2023 - House Date Signed by Governor","House Committee:Game, Fish & ParksSenate Committee:Natural Resources and the Environment","Rhodes, Trey , 124thCorbett, John , 174thRidley, Jason , 6thWilliams, Jr., Noel , 148thLaHood, John , 175th",https://www.legis.ga.gov/legislation/63944
HB 208,"Appeal and error; evidence has been lost or destroyed by the state; provide for remedies  
Status: 02/07/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Holcomb, Scott , 81st",https://www.legis.ga.gov/legislation/63945
HB 209,"State holidays; March 10 as Harriet Tubman Day; designate
Status: 02/07/2023 - House Second Readers",House Committee:Special Rules,"Clark, Jasmine , 108thBeverly, James , 143rdGilliard, Carl , 162ndAdeyina, Segun , 110thWilliams, Al , 168th",https://www.legis.ga.gov/legislation/63946
HB 210,"Harris County; levy an excise tax
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Smith, Vance , 138thSmith, Richard , 139th",https://www.legis.ga.gov/legislation/63947
HB 211,"Sales and use tax; certain absorbent diapers, undergarments, and pads; exempt
Status: 02/07/2023 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thDempsey, Katie , 13thGaines, Houston , 120thStinson, Patty Marie , 150thHilton, Scott , 48thWillis, Inga , 55th",https://www.legis.ga.gov/legislation/63948
HB 212,"Niche-Beauty Services Opportunity Act; enact
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Regulated Industries,"Jenkins, David , 136thCamp, Beth , 135thMathiak, Karen , 74thCarpenter, Kasey , 4thCameron, Mike , 1st",https://www.legis.ga.gov/legislation/63949
HB 213,"Education; required information to parents of students regarding meningococcal meningitis and influenza and their vaccines; revise provisions
Status: 02/22/2023 - House Withdrawn, Recommitted",House Committee:Public Health,"Dempsey, Katie , 13thHawkins, Lee , 27thCooper, Sharon , 45thHutchinson, Shelly , 106thTaylor, Darlene , 173rd",https://www.legis.ga.gov/legislation/63950
HB 214,"Professions and businesses; authorize registered nurses and physician assistants to certify an individual is disabled for purposes of obtaining special vehicle decals
Status: 02/07/2023 - House Second Readers",House Committee:Health,"Powell, Alan , 33rdAnderson, Victor , 10thMitchell, Billy , 88thJasperse, Rick , 11thReeves, Matt , 99thPetrea, Jesse , 166th",https://www.legis.ga.gov/legislation/63951
HB 215,"Professions and businesses; licensure of advanced practice registered nurses; provisions
Status: 03/18/2024 - Senate Read Second Time",House Committee:HealthSenate Committee:Health and Human Services,"Powell, Alan , 33rdAnderson, Victor , 10thMitchell, Billy , 88thJasperse, Rick , 11thReeves, Matt , 99thPetrea, Jesse , 166th",https://www.legis.ga.gov/legislation/63952
HB 216,"Criminal procedure; award made from Georgia Crime Victims Emergency Fund to sexual assault survivors for medical treatment or counseling; provide
Status: 02/07/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Lim, Marvin , 98thNeal, Yasmin , 79thHolcomb, Scott , 81stTaylor, Darlene , 173rdClark, Jasmine , 108thLott, Jodi , 131st",https://www.legis.ga.gov/legislation/63956
HB 217,"Crimes and offenses; dogfighting; revise provisions
Status: 02/07/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Hilton, Scott , 48thSilcox, Deborah , 53rdReeves, Matt , 99thCheokas, Mike , 151stWashburn, Dale , 144thCamp, Beth , 135th",https://www.legis.ga.gov/legislation/63970
HB 218,"Evidence; sexual assault hearsay for disabled adults and 17 year olds; provide
Status: 04/24/2024 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Hilton, Scott , 48thCooper, Sharon , 45thLeverett, Rob , 123rdSilcox, Deborah , 53rdReeves, Matt , 99th",https://www.legis.ga.gov/legislation/63971
HB 219,"Banking and finance; venue for offense of money laundering; provide
Status: 05/04/2023 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Hilton, Scott , 48thCooper, Sharon , 45thLeverett, Rob , 123rdBallard, Bethany , 147thPetrea, Jesse , 166thDaniel, Lauren , 117th",https://www.legis.ga.gov/legislation/63972
HB 220,"Property; means of enforcement of condominium and property owners' association instruments, rules, and regulations; provide
Status: 04/22/2024 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Leverett, Rob , 123rdSmith, Tyler Paul , 18th",https://www.legis.ga.gov/legislation/63973
HB 221,"Insurance; filing review process for private passenger motor vehicle liability coverage providing the minimum limits offered by the carrier; revise
Status: 05/03/2023 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"Lumsden, Eddie , 12thTarvin, Steve , 2ndHawkins, Lee , 27thJasperse, Rick , 11thTaylor, Darlene , 173rdBazemore, Debra , 69th",https://www.legis.ga.gov/legislation/63975
HB 222,"Insurance, Department of; clarify, streamline, and make transparent the practices of the department
Status: 05/03/2023 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"Lumsden, Eddie , 12thTarvin, Steve , 2ndWilliams, Jr., Noel , 148thTaylor, Darlene , 173rdHawkins, Lee , 27th",https://www.legis.ga.gov/legislation/63976
HB 223,"Revenue and taxation; procedures for certain local governments to change certain nonprofit organizations engaged to promote tourism, conventions, and trade shows for such jurisdiction; provide
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Ways & Means,"Stephens, Ron , 164th",https://www.legis.ga.gov/legislation/63977
HB 224,"Crimes and offenses; reporting of a lost or stolen firearm; provide
Status: 02/07/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63978
HB 225,"Food, drugs, and cosmetics; third-party food delivery platform to provide certain information to customers and food service establishments participating in an online order; require
Status: 02/07/2023 - House Second Readers",House Committee:Regulated Industries,"Carpenter, Kasey , 4thDaniel, Lauren , 117thSainz, Steven , 180thAnulewicz, Teri , 42ndMartinez, Reynaldo ""Rey"" , 111thVance, Ken , 133rd",https://www.legis.ga.gov/legislation/63979
HB 226,"Social services; treatment services under Medicaid to persons with HIV; provisions
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Public Health,"Cooper, Sharon , 45thTaylor, Darlene , 173rdDempsey, Katie , 13thNewton, Mark , 127thAnulewicz, Teri , 42ndAdesanya, Solomon , 43rd",https://www.legis.ga.gov/legislation/63980
HB 227,"Crimes and offenses; offense of criminal interference with critical infrastructure; provide
Status: 04/26/2023 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Leverett, Rob , 123rdWilliamson, Bruce , 112thSmith, Tyler Paul , 18thAnderson, Victor , 10thBurchett, James , 176thHuddleston, David , 72nd",https://www.legis.ga.gov/legislation/63981
HB 228,"Education; tuition equalization grants at private colleges and universities; expand definition of approved school
Status: 05/07/2024 - House Date Vetoed by Governor",House Committee:Higher EducationSenate Committee:Higher Education,"Dempsey, Katie , 13thCooper, Sharon , 45thTaylor, Darlene , 173rdPrince, Brian , 132ndHawkins, Lee , 27thWillis, Inga , 55th",https://www.legis.ga.gov/legislation/63982
HB 229,"Courts; grounds for recall of district attorneys of judicial circuits and solicitors-general of state courts; revise provisions
Status: 02/07/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Gaines, Houston , 120thGullett, Joseph , 19thWiedower, Marcus , 121stHilton, Scott , 48thPetrea, Jesse , 166thEhrhart, Ginny , 36th",https://www.legis.ga.gov/legislation/63983
HB 230,"Revenue and taxation; qualified consolidated government special purpose local option sales tax; provide
Status: 04/24/2023 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Newton, Mark , 127thPrince, Brian , 132ndFrazier, Gloria , 126thGladney, Lynn , 130thHoward, Karlton , 129th",https://www.legis.ga.gov/legislation/63984
HB 231,"Prosecuting Attorneys Oversight Commission; create
Status: 03/26/2024 - Senate Tabled",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Gullett, Joseph , 19thGaines, Houston , 120thJones, Jan , 47thGunter, Stan , 8thPetrea, Jesse , 166thGambill, Matthew , 15th",https://www.legis.ga.gov/legislation/63985
HB 232,"Penal institutions; require public disclosure of certain data pertaining to health, safety, or other conditions of detention of inmates
Status: 02/07/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thSchofield, Kim , 63rdDavis, Viola , 87thHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/63986
HB 233,"Criminal procedure; mental health treatment alternatives to imprisonment; provide
Status: 02/07/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thSchofield, Kim , 63rdCarter, Doreen , 93rdJones, Sheila , 60thDavis, Viola , 87thHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/63987
HB 234,"Penal institutions; require certain mental illness evaluations of persons detained in a penal institution
Status: 02/07/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rdHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/63988
HB 235,"Penal institutions; policies for breast milk storage and breast feeding of a delivered child; provide
Status: 02/07/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rdHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/63989
HB 236,"Education; certain early care and education programs; armed services; provisions
Status: 02/07/2023 - House Second Readers",House Committee:Education,"Scott, Sandra , 76thDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63990
HB 237,"State government; Southeast Georgia Soap Box Derby as official soap box derby of the State of Georgia; designate
Status: 01/08/2024 - Senate Recommitted",House Committee:Special RulesSenate Committee:Economic Development and Tourism,"Hagan, Leesa , 156thWerkheiser, Bill , 157thSeabaugh, Devan , 34thHatchett, Matt , 155th",https://www.legis.ga.gov/legislation/64000
HB 238,"State Board of Education; establish five-year pilot program to incentivize qualified local units of administration to utilize school bus monitors; provisions
Status: 02/07/2023 - House Second Readers",House Committee:Education,"Bruce, Roger , 61stBazemore, Debra , 69thGilliard, Carl , 162ndMiller, Tanya F. , 62ndNaghise, Tish , 68thFrazier, Gloria , 126th",https://www.legis.ga.gov/legislation/64002
HB 239,"Income tax; purchases and acquisitions of qualified investment property to include mining facilities; expand credits
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Ways & Means,"Williamson, Bruce , 112th",https://www.legis.ga.gov/legislation/64003
HB 240,"Clay County; Probate Court; authorize assessment and collection of technology fee
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Greene, Gerald , 154th",https://www.legis.ga.gov/legislation/64023
HB 241,"Minimum wage; provide increase
Status: 02/08/2023 - House Second Readers",House Committee:Industry and Labor,"McClain, Dewey , 109thJones, Sheila , 60thAlexander, Kimberly , 66thGlaize, Lydia , 67thCummings, Terry , 39thGladney, Lynn , 130th",https://www.legis.ga.gov/legislation/64024
HB 242,"Georgia Driver's Education Commission; violation of traffic laws or ordinances under Joshua's Law; provide additional penalty
Status: 05/03/2023 - House Date Signed by Governor",House Committee:Motor VehiclesSenate Committee:Public Safety,"Hitchens, Bill , 161stStephens, Ron , 164thPetrea, Jesse , 166thLumsden, Eddie , 12thPowell, Alan , 33rd",https://www.legis.ga.gov/legislation/64025
HB 243,"Coweta Judicial Circuit; superior court; provide eighth judge
Status: 05/01/2023 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Smith, Lynn , 70thCollins, J , 71stSmith, Tyler Paul , 18thJenkins, David , 136thHuddleston, David , 72ndThomas, Mandisha A. , 65th",https://www.legis.ga.gov/legislation/64026
HB 244,"Board of Natural Resources; effective date for certain rules and regulations; extend
Status: 04/25/2024 - House Date Signed by Governor","House Committee:Game, Fish & ParksSenate Committee:Natural Resources and the Environment","Petrea, Jesse , 166thRhodes, Trey , 124thDeLoach, Buddy , 167thSainz, Steven , 180thTownsend, Rick , 179thStephens, Ron , 164th",https://www.legis.ga.gov/legislation/64027
HB 245,"Minimum wage law; preemption of wage and employment benefit mandates adopted by a local government entity; repeal certain provisions
Status: 02/08/2023 - House Second Readers",House Committee:Industry and Labor,"Evans, Stacey , 57thMcClain, Dewey , 109thPark, Sam , 107thMarin, Pedro ""Pete"" , 96thCarter, Doreen , 93rdBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/64028
HB 246,"Property; prohibit China, Iran, North Korea, and Russia, their citizens, and companies owned or operated by them to acquire title or property in this state
Status: 02/08/2023 - House Second Readers",House Committee:Judiciary,"Momtahan, Martin , 17thParsons, Don , 44thDickey, Robert , 145thTarvin, Steve , 2ndPirkle, Clay , 169thBonner, Josh , 73rd",https://www.legis.ga.gov/legislation/64029
HB 247,"Fair Business Practices Act; maximum interest rate of six percent on obligations or liabilities incurred by active military service members; provide
Status: 02/08/2023 - House Second Readers",House Committee:Judiciary,"Hawkins, Lee , 27thBonner, Josh , 73rdClark, David , 100thWilliams, Al , 168thThomas, Brad , 21stHitchens, Bill , 161st",https://www.legis.ga.gov/legislation/64030
HB 248,"Courts; limiting sheriffs to one additional salary for serving as sheriff of multiple courts; repeal provisions
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Judiciary,"Ridley, Jason , 6thErwin, Chris , 32ndRhodes, Trey , 124thCollins, J , 71stFranklin, Lehman , 160thYearta, Bill , 152nd",https://www.legis.ga.gov/legislation/64031
HB 249,"Education; needs based financial aid program; provide definition
Status: 05/05/2023 - House Date Vetoed by Governor",House Committee:Higher EducationSenate Committee:Higher Education,"Martin, Chuck , 49thHilton, Scott , 48thJones, Jan , 47thMcDonald, Lauren , 26thGaines, Houston , 120th",https://www.legis.ga.gov/legislation/64032
HB 250,"Civil practice; prohibit censorship by social media platforms
Status: 02/08/2023 - House Second Readers",House Committee:Judiciary,"Sainz, Steven , 180thHitchens, Bill , 161stKelley, Trey , 16thTownsend, Rick , 179thMathiak, Karen , 74th",https://www.legis.ga.gov/legislation/64033
HB 251,"Clean Energy Act; enact
Status: 02/08/2023 - House Second Readers","House Committee:Energy, Utilities & Telecommunications","Schofield, Kim , 63rdDrenner, Karla , 85thKennard, Gregg , 101stEvans, Becky , 89thHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/64034
HB 252,"Georgia Code; add appropriate references to United States Space Force; provisions
Status: 02/08/2023 - House Second Readers",House Committee:Defense & Veterans Affairs,"Thomas, Brad , 21stBonner, Josh , 73rdClark, David , 100thBallard, Bethany , 147thPrince, Brian , 132ndJenkins, David , 136th",https://www.legis.ga.gov/legislation/64035
HB 253,"Crimes and offenses; offense of drug-induced homicide; provide
Status: 02/08/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Momtahan, Martin , 17thKelley, Trey , 16thSeabaugh, Devan , 34thTarvin, Steve , 2ndMcCollum, Derrick , 30thWiedower, Marcus , 121st",https://www.legis.ga.gov/legislation/64036
HB 254,"Civil practice; alternative procedure for designation of official legal organ; provide
Status: 05/03/2023 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:State and Local Governmental Operations,"Jenkins, David , 136thCannon, Chas , 172ndPirkle, Clay , 169thHorner, Mitchell , 3rdLott, Jodi , 131st",https://www.legis.ga.gov/legislation/64037
HB 255,"Brantley County; Board of Education; compensation of members; change provisions
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Corbett, John , 174th",https://www.legis.ga.gov/legislation/64038
HB 256,"Labor and industrial relations; prohibition of age discrimination; change age of individuals
Status: 02/08/2023 - House Second Readers",House Committee:Industry and Labor,"Schofield, Kim , 63rdGreene, Gerald , 154thCarter, Doreen , 93rdMarin, Pedro ""Pete"" , 96thBonner, Josh , 73rd",https://www.legis.ga.gov/legislation/64041
HB 257,"Health; feminine hygiene products containing restricted substances; prohibit distribution or sale
Status: 02/08/2023 - House Second Readers",House Committee:Public Health,"Schofield, Kim , 63rdDavis, Viola , 87thScott, Sandra , 76thHutchinson, Shelly , 106thHugley, Carolyn , 141st",https://www.legis.ga.gov/legislation/64042
HB 258,"Menstrual Product Transparency Act; enact
Status: 02/08/2023 - House Second Readers",House Committee:Public Health,"Schofield, Kim , 63rdDavis, Viola , 87thScott, Sandra , 76thHutchinson, Shelly , 106thBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/64043
HB 259,"Transportation, Department of; publication of the disparity study and summary of efforts to increase minority business participation; require
Status: 02/08/2023 - House Second Readers",House Committee:Transportation,"Schofield, Kim , 63rdBeverly, James , 143rdScott, Sandra , 76thDavis, Viola , 87thMitchell, Billy , 88th",https://www.legis.ga.gov/legislation/64044
HB 260,"Georgia Environmental Justice Act of 2023; enact
Status: 02/08/2023 - House Second Readers",House Committee:Natural Resources & Environment,"Schofield, Kim , 63rdDavis, Viola , 87thMitchell, Billy , 88thGilliard, Carl , 162ndThomas, Mandisha A. , 65th",https://www.legis.ga.gov/legislation/64045
HB 261,"Labor and industrial relations; employers to provide certain documentation when compensating employees; require
Status: 02/08/2023 - House Second Readers",House Committee:Industry and Labor,"Lewis-Ward, Regina , 115thMcClain, Dewey , 109thBennett, Karen , 94th",https://www.legis.ga.gov/legislation/64046
HB 262,"Georgia Racial Equity in Agriculture Act; enact
Status: 02/08/2023 - House Second Readers",House Committee:Agriculture & Consumer Affairs,"Lewis-Ward, Regina , 115thBeverly, James , 143rdJackson, Mack , 128thGilliard, Carl , 162nd",https://www.legis.ga.gov/legislation/64047
HB 263,"Income tax; tax credit for certain remote work expenses incurred by employers; provide
Status: 02/09/2023 - House Second Readers",House Committee:Ways & Means,"Thomas, Mandisha A. , 65th",https://www.legis.ga.gov/legislation/64065
HB 264,"Revenue and taxation; handling of appeals of property tax assessments; revise certain deadlines and procedures
Status: 03/26/2024 - Senate Tabled",House Committee:Ways & MeansSenate Committee:Finance,"Smith, Vance , 138thRhodes, Trey , 124thWilliams, Jr., Noel , 148thCorbett, John , 174thBlackmon, Shaw , 146thHorner, Mitchell , 3rd",https://www.legis.ga.gov/legislation/64066
HB 265,"Rockdale Judicial Circuit; Superior Court judges; change amount of salary supplement
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Carter, Doreen , 93rdKendrick, Dar'shun , 95thMoore, Angela , 91stTaylor, Rhonda , 92nd",https://www.legis.ga.gov/legislation/64067
